UMAP1,UMAP2,TimeStep
6.7715263,4.1698318,0
6.364543,4.5043035,1
6.7317505,4.9985485,2
6.6708126,4.689852,3
6.3700805,5.040269,4
6.416303,5.3267555,5
6.1451774,5.6469603,6
6.2167964,5.1345596,7
6.4843607,4.9270864,8
6.250078,5.1692615,9
6.347925,5.189421,10
7.0351086,5.030827,11
6.571442,4.9504714,12
6.22271,4.058506,13
6.9565682,4.1451178,14
6.6661363,4.786812,15
6.3324394,4.449305,16
6.0475154,4.6018558,17
7.359099,5.392609,18
6.839753,5.549382,19
6.779712,4.3610473,20
6.5248413,4.114014,21
6.160316,5.3743043,22
6.7901874,5.535081,23
6.820058,5.9752064,24
6.693282,5.453423,25
6.8898416,5.576017,26
6.2585564,4.2830076,27
6.165971,5.261369,28
6.891242,5.8239083,29
7.004303,5.739957,30
6.1969433,4.790625,31
6.113519,4.5808926,32
7.2349195,5.7470856,33
6.8437104,5.648576,34
6.118878,4.338573,35
7.043461,5.637872,36
5.6703734,5.016194,37
6.5157423,4.704179,38
6.4928813,4.965705,39
6.3385773,5.284219,40
6.7063384,5.9161987,41
5.9150877,5.3089786,42
6.3266582,5.4358306,43
6.220335,5.6424932,44
5.9003377,4.586577,45
6.1592727,4.192991,46
-0.8317018,2.405637,47
0.8607157,6.546177,48
5.7157836,5.4263477,49
6.0602365,5.183387,50
5.8284063,5.4110613,51
6.112419,5.0008707,52
6.1433578,4.9612193,53
6.2624946,5.566438,54
6.546544,5.2004266,55
6.3620243,5.618431,56
6.5563197,5.0215726,57
6.4032483,5.7492743,58
6.024949,5.743866,59
6.0193353,5.206087,60
6.07495,5.8930097,61
6.7969165,5.813805,62
6.153156,5.6723347,63
6.4654956,5.4239154,64
7.503359,5.7057614,65
6.027144,5.817179,66
6.281784,5.433846,67
5.8206987,5.5837183,68
6.5868435,5.4169855,69
6.5181727,5.690127,70
5.8193264,5.347751,71
5.7404327,4.932117,72
6.345521,6.0483046,73
7.1097217,6.6055336,74
6.9329433,5.9897585,75
5.845954,4.8037176,76
6.846196,6.3808475,77
5.8790174,5.3177133,78
6.333642,5.6555862,79
