umap1,umap2,timestep
17.355137,-6.8821263,0
17.239464,-6.987529,1
17.584808,-6.817542,2
17.617085,-6.7904506,3
17.357746,-6.92165,4
17.600481,-6.812134,5
17.820654,-6.7122345,6
17.621983,-6.847416,7
17.556162,-6.602482,8
17.50603,-6.463024,9
17.785168,-6.6247945,10
17.861736,-6.6548853,11
17.605291,-6.79269,12
17.8604,-6.9414663,13
17.779665,-6.7683415,14
17.662794,-6.677227,15
17.51282,-6.7755675,16
17.549295,-6.8163214,17
17.638636,-6.7050686,18
17.44377,-6.7106805,19
17.634834,-6.8870115,20
17.701178,-6.875461,21
17.63752,-6.6838408,22
17.659164,-6.784969,23
17.771894,-6.8442993,24
17.528696,-6.787591,25
17.641401,-6.8186307,26
17.579018,-6.8627768,27
17.81074,-6.8004227,28
17.933067,-6.291061,29
17.553581,-6.7142286,30
17.395987,-6.738659,31
17.725529,-6.607899,32
17.781475,-6.62375,33
17.631138,-6.5994163,34
17.839108,-6.665591,35
17.575552,-6.67854,36
17.683771,-6.840092,37
17.635162,-6.76152,38
17.66838,-6.753404,39
17.621225,-6.7090716,40
17.643656,-6.7467823,41
17.620335,-6.845003,42
17.889423,-6.6286154,43
17.566414,-6.731607,44
17.768942,-6.5247855,45
17.660229,-6.4596214,46
17.890028,-6.474327,47
17.62814,-6.8461432,48
17.778606,-6.7565923,49
17.748604,-6.8065495,50
17.832096,-6.7494655,51
17.771866,-6.7513065,52
17.652552,-6.7470293,53
17.786303,-6.8312745,54
17.698122,-6.7759557,55
17.504425,-6.855417,56
17.825516,-6.699892,57
17.594004,-6.8011775,58
17.828238,-6.6628795,59
17.595417,-6.7867403,60
17.623655,-6.7923274,61
17.764097,-6.694398,62
17.636871,-6.726437,63
17.867126,-6.5563655,64
17.967915,-6.7218766,65
17.644238,-6.872968,66
17.798729,-6.5023484,67
17.848623,-6.621991,68
17.722986,-6.673561,69
17.836958,-6.8010035,70
17.872412,-6.739358,71
17.721952,-6.728887,72
17.753042,-6.6901965,73
17.987038,-6.788757,74
17.796064,-6.574411,75
17.785215,-6.711345,76
17.828527,-6.647733,77
17.829058,-6.7697515,78
17.860443,-6.5895743,79
17.969229,-6.490289,80
17.725122,-6.628309,81
17.783207,-6.7448363,82
17.735855,-6.688792,83
17.884012,-6.60155,84
17.795292,-6.639838,85
17.907755,-6.611268,86
17.966055,-6.687277,87
17.869148,-6.6629252,88
17.8429,-6.7149615,89
17.88577,-6.7204933,90
18.014967,-6.595896,91
17.78948,-6.7138557,92
17.860325,-6.7229385,93
17.801794,-6.6273627,94
17.766241,-6.765816,95
17.825777,-6.7211723,96
17.928772,-6.72836,97
17.886656,-6.6626706,98
17.868982,-6.6608253,99
17.830704,-6.774061,100
17.818748,-6.6695957,101
17.87376,-6.6965065,102
17.926075,-6.689406,103
17.992641,-6.5627356,104
17.940521,-6.670551,105
17.9458,-6.6132483,106
17.881708,-6.767489,107
17.940802,-6.6645436,108
17.946918,-6.636234,109
17.868208,-6.6947994,110
17.814226,-6.674396,111
17.866568,-6.658364,112
17.91549,-6.700361,113
18.02059,-6.685449,114
17.747519,-6.8250895,115
17.892174,-6.680394,116
17.777515,-6.729894,117
17.971306,-6.656654,118
17.787495,-6.6003485,119
17.688053,-6.8089075,120
18.023024,-6.6134663,121
17.617891,-6.6444707,122
17.825869,-6.828235,123
17.819118,-6.623796,124
17.766651,-6.6274853,125
17.70264,-6.5851054,126
17.930943,-6.7878428,127
17.793888,-6.713312,128
17.599949,-6.5471177,129
17.893589,-6.7279606,130
17.883364,-6.6714673,131
17.665676,-6.7673697,132
17.912472,-6.632252,133
17.91906,-6.6393657,134
17.95933,-6.635799,135
17.896673,-6.6483603,136
18.035498,-6.541089,137
17.943308,-6.570356,138
17.665388,-6.788499,139
17.910402,-6.6043315,140
17.882807,-6.6016192,141
17.867506,-6.933147,142
17.802605,-6.769391,143
17.93949,-6.7597003,144
17.638876,-6.7272844,145
17.516672,-6.7939568,146
17.526922,-6.89568,147
17.684551,-6.8320723,148
17.785223,-6.595622,149
17.610191,-6.738489,150
17.718155,-6.795691,151
17.62663,-6.803136,152
17.696516,-6.7656446,153
17.863184,-6.6723456,154
17.80254,-6.667417,155
17.844982,-6.6429796,156
17.566147,-6.8481407,157
17.642609,-6.781893,158
17.708822,-6.6204004,159
17.7145,-6.7740927,160
17.71438,-6.7645288,161
17.544176,-6.827229,162
17.741184,-6.6515794,163
17.81564,-6.6610093,164
18.014343,-6.753244,165
17.987783,-6.789363,166
17.905857,-6.7260604,167
17.805704,-6.521935,168
17.878216,-6.731302,169
17.925695,-6.5313272,170
17.891455,-6.7428226,171
17.69156,-6.6192794,172
17.838242,-6.564571,173
17.936266,-6.6084204,174
17.92426,-6.723622,175
17.99195,-6.734482,176
17.794626,-6.7030387,177
17.787663,-6.5791607,178
17.744808,-6.706716,179
17.744556,-6.829728,180
17.711662,-6.4765034,181
17.930687,-6.7209797,182
17.66786,-6.5215154,183
17.744358,-6.90844,184
17.616957,-6.5578685,185
17.843456,-6.7582417,186
17.537703,-6.5869794,187
17.783728,-6.6447153,188
17.828945,-6.661625,189
17.864208,-6.582672,190
17.648792,-6.792428,191
17.282763,-6.8324966,192
