UMAP1,UMAP2,TimeStep
1.285464,10.534942,0
1.6385034,10.758328,1
1.4993075,10.948578,2
1.978831,10.187507,3
1.4108573,10.409725,4
1.6283642,10.264363,5
1.7532712,10.575731,6
1.4599351,10.979379,7
1.8542514,10.576719,8
1.4581233,10.637791,9
2.0669034,10.292305,10
2.0015826,10.78577,11
1.8443487,10.410784,12
2.1867921,10.14544,13
2.0817833,10.069757,14
2.4860888,10.669914,15
1.9129424,10.440287,16
1.9584213,10.976479,17
2.3984668,10.549048,18
2.3595793,9.943096,19
2.3273811,10.710681,20
1.8773187,10.207926,21
1.6358429,10.336444,22
2.1577466,10.704683,23
1.846912,10.1558895,24
2.4831111,10.797338,25
2.4734676,10.638101,26
2.0859427,10.504141,27
2.0868058,10.28705,28
2.450215,10.467147,29
2.1701472,9.945631,30
1.6362658,10.508019,31
1.368241,10.522742,32
1.6526927,10.725758,33
2.425937,9.787607,34
2.1290107,11.211517,35
1.1278412,10.493891,36
1.5558943,10.31267,37
1.3156973,10.277291,38
1.0806191,10.264863,39
1.943546,9.731624,40
1.1001343,11.137899,41
2.5355737,9.69502,42
2.6383982,9.582666,43
2.6382997,9.512296,44
2.1699383,10.164573,45
1.3702803,10.479917,46
1.9829482,2.549664,47
1.059599,10.422529,48
1.9041502,10.668233,49
1.5350845,10.656009,50
1.5143512,10.554968,51
1.3008128,10.264764,52
1.8448824,10.588379,53
1.3592347,10.59023,54
1.3146846,10.651758,55
2.010079,10.016981,56
1.3582301,10.671512,57
2.0974944,10.8364525,58
2.3547835,10.222103,59
1.9991668,10.229575,60
1.3363146,10.483793,61
1.3150803,10.370399,62
1.6846428,10.1333685,63
2.0941002,11.141279,64
1.5952145,9.713699,65
2.5490541,10.213218,66
1.2645972,10.391837,67
2.258271,10.212344,68
1.4647522,10.636981,69
1.3265216,10.074377,70
1.925736,9.717633,71
2.6370876,10.359013,72
1.096689,10.707168,73
2.262402,9.952681,74
2.2234182,9.945792,75
1.2172105,10.515805,76
1.1804497,10.85392,77
1.7732625,11.241287,78
1.2269846,11.08694,79
1.1245639,11.063116,80
1.0142612,10.792054,81
1.2276495,11.098111,82
1.0999997,10.639989,83
1.528426,10.61702,84
1.2312363,10.642183,85
1.2855884,9.999137,86
1.4246053,10.412962,87
1.4245465,9.9490795,88
1.2509347,10.556908,89
1.5608587,10.265763,90
1.9365424,9.751105,91
1.9218993,9.684213,92
1.292226,11.231514,93
2.0428865,9.631896,94
2.0976086,2.578866,95
0.7882262,10.246918,96
1.5612414,10.246042,97
1.760503,10.277803,98
1.4072026,10.612002,99
1.5433761,10.69264,100
2.1149936,10.226408,101
2.1467206,10.280798,102
1.2850722,10.449932,103
1.7315786,10.659283,104
1.7179365,10.39368,105
1.9979688,10.722676,106
1.6870426,10.806745,107
1.8139575,10.217199,108
1.7162982,11.059553,109
1.2708694,10.304169,110
1.2873371,10.4689245,111
2.3534143,9.795346,112
2.375078,9.955334,113
1.5619797,10.350429,114
1.7683576,10.617605,115
1.6049582,10.802551,116
2.1352975,10.236314,117
1.3776731,10.559244,118
1.6871954,10.810352,119
1.4661756,10.896672,120
1.7840253,10.553473,121
1.5278256,11.145377,122
1.6123941,10.755309,123
2.1403,10.713377,124
2.1060636,10.245794,125
1.9404856,10.599676,126
1.71189,10.962682,127
1.2104887,10.326892,128
2.1708117,9.929043,129
1.2740889,11.117877,130
1.929963,10.770712,131
1.8235906,10.62055,132
1.6112148,10.707807,133
1.8042054,10.835941,134
1.7567738,10.280805,135
1.9489318,10.056192,136
1.8565612,9.696827,137
1.3905724,10.3772745,138
2.3430657,9.743457,139
1.3294036,10.402372,140
2.574783,10.009559,141
2.0586157,10.405514,142
2.2248173,2.6046574,143
0.7336083,10.192604,144
1.0696473,10.698375,145
1.9810557,10.822696,146
1.9622619,10.50208,147
2.2067928,10.049042,148
1.5323478,10.888295,149
1.3515716,10.539548,150
1.4427342,11.251673,151
1.0773863,10.724837,152
1.0900923,10.700915,153
1.1562556,10.979171,154
1.4165931,11.241578,155
1.1900804,11.20101,156
1.086006,10.920757,157
1.378328,10.966122,158
1.6761652,11.077423,159
1.2643309,11.234494,160
1.1911865,10.760176,161
1.2349545,11.048872,162
1.2663114,11.142563,163
2.464731,10.642111,164
1.7755655,10.609098,165
2.2629564,10.885131,166
1.3805875,11.244185,167
1.593845,10.907088,168
1.2181202,10.992533,169
1.1295059,10.739625,170
1.3518059,10.884484,171
2.1637905,10.077274,172
2.346667,10.434528,173
1.9605756,10.125841,174
2.2577646,10.860203,175
2.0966988,10.499845,176
1.7771463,10.7457,177
2.1907806,10.658247,178
2.3131409,10.9424305,179
1.899368,11.291787,180
2.0522218,9.705225,181
2.0618536,11.36913,182
1.3032144,10.841429,183
1.910146,10.54413,184
2.0478227,10.233375,185
2.0364647,10.626469,186
1.9602991,10.790702,187
2.4090493,10.592235,188
2.0886087,10.904161,189
1.9647241,10.245638,190
2.222657,2.5955582,191
0.7520587,10.1666,192
1.7561234,10.687867,193
2.1697304,10.443849,194
1.9615815,10.280633,195
1.508564,10.406199,196
1.6333356,10.948614,197
1.4686695,11.067478,198
1.521742,10.140799,199
1.3624259,11.03082,200
2.1129704,10.548003,201
1.5263505,10.35011,202
1.4214153,10.626594,203
1.542504,10.923208,204
1.1003512,10.938699,205
1.849741,10.120778,206
2.4199991,9.738016,207
2.3915927,9.736881,208
1.4591372,11.322163,209
1.3290505,11.250582,210
1.4950126,10.450015,211
1.6396487,10.814796,212
1.4785153,10.38886,213
1.7385243,10.385001,214
2.3495073,10.778697,215
1.8562876,11.273848,216
1.2918676,10.591171,217
1.7301176,10.83695,218
