umap1,umap2,timestep
-10.153906,12.456415,0
-10.193428,12.399669,1
-10.305213,12.379858,2
-10.148398,12.401,3
-10.179634,12.445209,4
-10.275925,12.42974,5
-10.094083,12.295043,6
-10.098394,12.326964,7
-10.195047,12.337743,8
-10.229092,12.395009,9
-10.11673,12.391573,10
-10.15672,12.424582,11
-10.257602,12.441767,12
-10.232499,12.374373,13
-10.184243,12.428992,14
-10.152375,12.463074,15
-10.111714,12.375902,16
-10.174656,12.426488,17
-10.1199255,12.375024,18
-10.241164,12.390214,19
-10.235428,12.363614,20
-10.26564,12.310943,21
-9.986526,12.601828,22
-10.078038,12.385504,23
-10.2414055,12.506329,24
-10.030867,12.315706,25
-10.174379,12.428321,26
-10.176159,12.38456,27
-10.208166,12.419963,28
-10.214605,12.500771,29
-10.212922,12.330957,30
-10.166827,12.413627,31
-10.262286,12.346606,32
-9.997251,12.321405,33
-10.154056,12.350021,34
-10.15634,12.313328,35
-10.175074,12.4433155,36
-10.187062,12.402532,37
-10.09875,12.481225,38
-10.224689,12.466365,39
-10.224158,12.330477,40
-10.167397,12.472359,41
-10.190081,12.421158,42
-10.1114,12.390319,43
-10.174062,12.404131,44
-10.159022,12.47987,45
-10.263626,12.422498,46
-10.15278,12.330503,47
-10.106919,12.347673,48
-10.172733,12.415117,49
-10.135117,12.433757,50
-10.149471,12.43128,51
-10.034232,12.47294,52
-10.18258,12.3684435,53
-10.076036,12.482991,54
-10.110117,12.42361,55
-10.070489,12.56249,56
-10.13803,12.441909,57
-10.220386,12.435071,58
-10.166949,12.39733,59
-10.142861,12.417437,60
-10.169566,12.404281,61
-10.185588,12.323219,62
-10.210515,12.493841,63
-10.168804,12.391429,64
-10.29929,12.448523,65
-10.264674,12.493759,66
-10.112553,12.279203,67
-10.224767,12.44209,68
-10.240266,12.37125,69
-10.127499,12.375788,70
-10.30215,12.432648,71
-10.182338,12.388833,72
-10.302755,12.466889,73
-10.186042,12.5033455,74
-10.194989,12.450189,75
-10.2914095,12.378365,76
-10.130628,12.429324,77
-10.13473,12.390239,78
-10.143222,12.367923,79
-10.212104,12.395851,80
-10.2373295,12.31873,81
-10.1287365,12.441416,82
-10.211996,12.4496155,83
-10.162264,12.34398,84
-10.110191,12.396666,85
-10.282419,12.46021,86
-10.253027,12.307168,87
-10.0414295,12.529649,88
-10.203814,12.46498,89
-10.324489,12.5994005,90
-10.076326,12.289547,91
-10.0780525,12.406098,92
-10.227299,12.36875,93
-10.173657,12.42567,94
-10.187293,12.431968,95
-10.289346,12.315501,96
-10.202185,12.41005,97
-10.200231,12.400395,98
-10.116107,12.502282,99
-10.2389345,12.487302,100
-10.190671,12.485809,101
-10.349605,12.604747,102
-10.138676,12.431317,103
-10.2783575,12.432716,104
-10.151889,12.455429,105
-10.142603,12.440387,106
-10.328128,12.31843,107
-10.164073,12.411761,108
-10.180508,12.401239,109
-10.187982,12.389703,110
-10.22653,12.469988,111
-10.111953,12.436903,112
-10.28878,12.521221,113
-10.279475,12.489512,114
-10.331262,12.47903,115
-10.066464,12.555974,116
-10.313744,12.49493,117
-10.2031,12.43134,118
-10.192877,12.443805,119
-10.304644,12.537908,120
-10.09107,12.515107,121
-10.209146,12.369551,122
-10.305233,12.402507,123
-10.083792,12.282675,124
-10.231104,12.478959,125
-10.138856,12.481753,126
