umap1,umap2,timestep
0.8146224,-1.6835248,0
0.747477,-1.7328031,1
0.80688494,-1.6912605,2
0.77453285,-1.718914,3
0.81201833,-1.6772659,4
0.8224097,-1.6810398,5
0.8320961,-1.6562834,6
0.7844112,-1.7182032,7
0.80086625,-1.6823894,8
0.7432279,-1.7508951,9
0.7912221,-1.7028505,10
0.8146242,-1.6687917,11
0.8076686,-1.6802408,12
0.8497417,-1.6416857,13
0.8128726,-1.6815417,14
0.85117257,-1.6368716,15
0.81516266,-1.6826676,16
0.80736804,-1.6727254,17
0.79494923,-1.7078062,18
0.8083686,-1.6877415,19
0.798197,-1.7200288,20
0.79036385,-1.7166536,21
0.83993477,-1.647233,22
0.80758303,-1.7003943,23
0.7606645,-1.7335224,24
0.8150999,-1.6748923,25
0.8725017,-1.6310661,26
0.84592617,-1.6589135,27
0.85853714,-1.637985,28
0.58413744,-1.9253759,29
0.8321693,-1.6615597,30
0.8201029,-1.6759694,31
0.734372,-1.7640597,32
0.8621663,-1.6146291,33
0.80774176,-1.6963336,34
0.8863223,-1.5964309,35
0.90746903,-1.5816827,36
0.86837196,-1.6370324,37
0.8629761,-1.5952679,38
0.80809623,-1.678952,39
0.81555086,-1.6944137,40
0.84998786,-1.6392953,41
0.8282172,-1.6612962,42
0.83028114,-1.6560336,43
0.83715636,-1.6520816,44
0.8920317,-1.6061596,45
0.89171386,-1.6139663,46
0.8425554,-1.6425815,47
0.8106297,-1.6773633,48
0.8824492,-1.5984582,49
0.8431168,-1.6569223,50
0.8336655,-1.6609647,51
0.80139065,-1.7052546,52
0.85204536,-1.6411592,53
0.85725874,-1.6229144,54
0.8209745,-1.6756077,55
0.8324351,-1.6556324,56
0.8295635,-1.6729879,57
0.8245205,-1.6611979,58
0.871715,-1.6090612,59
0.80898553,-1.6776607,60
0.84473616,-1.6462722,61
0.82280487,-1.6743201,62
0.8464162,-1.6376007,63
0.8621649,-1.6255904,64
0.77277625,-1.6972162,65
0.8428881,-1.6440276,66
0.81223035,-1.6758561,67
0.8165051,-1.6955086,68
0.8133873,-1.7196295,69
0.8014817,-1.7073157,70
0.84723866,-1.757305,71
0.7127577,-1.8435583,72
0.81343436,-1.7006027,73
