umap1,umap2,timestep
-5.400518,-7.7191057,0
-5.4707108,-7.4013777,1
-5.4225636,-7.8029375,2
-5.526807,-7.659051,3
-5.3561053,-7.64656,4
-5.3245296,-7.554873,5
-5.3851132,-7.5706706,6
-5.2287483,-7.468766,7
-5.41687,-7.5779634,8
-5.240822,-7.5208917,9
-5.256052,-7.279222,10
-5.3502026,-7.4751577,11
-5.4820595,-7.7355504,12
-5.441111,-7.639038,13
-5.2513833,-7.5756264,14
-5.413951,-7.1923666,15
-5.355838,-7.4150805,16
-5.3236527,-7.0948796,17
-5.278726,-7.3315854,18
-5.609373,-7.7993298,19
-5.445485,-7.825519,20
-5.4622154,-7.7137446,21
-5.7051096,-7.4190593,22
-5.790145,-7.8100514,23
-5.49194,-7.6819053,24
-5.9964275,-7.679024,25
-5.923881,-7.736249,26
-5.980905,-7.458258,27
-5.9085636,-7.9186134,28
-5.7263045,-7.697042,29
-5.6493015,-7.7208247,30
-5.489331,-7.614659,31
-5.6472626,-7.5960574,32
-5.4854116,-7.4606614,33
-5.4979672,-7.4657044,34
-5.3921313,-7.6095905,35
-6.062388,-7.712376,36
-5.521717,-7.4135957,37
-5.5871964,-7.3357544,38
-5.3756137,-7.4501467,39
-5.502626,-7.399803,40
-5.5242906,-7.471478,41
-5.7026033,-7.7821417,42
-5.642478,-7.67789,43
-5.569353,-7.543939,44
-6.0087543,-7.315564,45
-5.3901815,-7.5123568,46
-5.5055475,-7.305907,47
-5.070672,-7.692172,48
-5.365571,-7.649717,49
-5.561769,-7.7779465,50
-5.91221,-7.9259915,51
-5.663685,-7.727508,52
-5.3924975,-7.642055,53
-5.254953,-7.560866,54
-5.39881,-7.629881,55
-5.636239,-7.7210336,56
-5.730113,-7.820728,57
-5.730789,-7.757215,58
-5.613058,-7.8259516,59
-5.5145364,-7.7005906,60
-5.474225,-7.7344503,61
-5.6168046,-7.787323,62
-5.556194,-7.75607,63
-5.792915,-7.606715,64
-5.9770613,-7.320666,65
-5.575141,-7.7396617,66
-5.9361596,-7.886108,67
-6.050999,-7.721467,68
-5.979637,-7.642186,69
-5.7953253,-7.6180573,70
-5.5799613,-7.7260666,71
-5.738764,-7.6937475,72
-5.913033,-7.554867,73
-5.8987427,-7.4297895,74
-5.897359,-7.5956225,75
-5.870951,-7.7320433,76
-5.9080095,-7.489062,77
-5.8085976,-7.8699718,78
