umap1,umap2,timestep
-6.663309,-3.375875,0
-6.664507,-3.3731005,1
-6.6832466,-3.401138,2
-6.6285653,-3.485313,3
-6.4426374,-3.5964694,4
-6.368159,-3.0870874,5
-6.5133348,-3.162286,6
-6.4381723,-2.9649363,7
-6.4667215,-2.9935846,8
-6.424907,-2.8931909,9
-6.381682,-2.964553,10
-6.5042014,-3.141733,11
-6.6412487,-3.2071104,12
-6.5607243,-3.3314881,13
-6.677579,-3.393207,14
-6.5404043,-3.3716812,15
-6.465971,-3.117116,16
-6.53098,-3.278774,17
-6.468567,-3.2931058,18
-6.5128846,-3.179258,19
-6.681799,-3.3143005,20
-6.519582,-3.2183409,21
-6.5175643,-3.1872666,22
-6.4734235,-3.1109734,23
-6.6614337,-3.3497045,24
-6.74138,-3.4312117,25
-6.6923833,-3.400686,26
-6.763188,-3.3287969,27
-6.6809974,-3.3890612,28
-6.7359643,-3.211647,29
-6.65832,-3.3393862,30
-6.6466503,-3.4989805,31
-6.6458516,-3.5044007,32
-6.603758,-3.3862634,33
-6.630702,-3.3187811,34
-6.60934,-3.1954134,35
-6.5987787,-3.4476702,36
-6.7473083,-3.426588,37
-6.6373425,-3.339029,38
-6.6159654,-3.2789595,39
-6.6396556,-3.305165,40
-6.738788,-3.2857707,41
-6.6541758,-3.317322,42
-6.702909,-3.2728179,43
-6.595131,-3.1004102,44
-6.6356893,-3.0211136,45
-6.5364914,-2.9248688,46
-6.6192927,-3.13169,47
-6.7893095,-3.3631794,48
-6.7601748,-3.4758728,49
-6.6660075,-3.49426,50
-6.594238,-3.4208457,51
-6.6609263,-3.5512471,52
-6.746507,-3.359088,53
-6.721109,-3.4773827,54
-6.745022,-3.233176,55
-6.6583714,-3.4560454,56
-6.692536,-3.319793,57
-6.5017924,-3.1054938,58
-6.6611776,-3.1970696,59
-6.594654,-3.343126,60
-6.3842216,-3.033206,61
-6.352337,-3.1022887,62
-6.3121586,-3.0550249,63
-6.555239,-2.9917924,64
-6.6676235,-3.4591522,65
-6.6536937,-3.3633034,66
-6.5083895,-3.1963828,67
-6.5799007,-3.2393663,68
-6.6936016,-3.2852714,69
-7.0186133,-2.997104,70
-6.617851,-3.3871527,71
-6.730476,-3.2935321,72
-6.5854726,-3.2876477,73
-6.539212,-3.44178,74
-6.690638,-3.3182175,75
-6.763518,-3.3241317,76
-6.8799376,-2.9142368,77
-6.7857246,-3.398214,78
-6.4641166,-3.3615816,79
-6.576018,-3.284674,80
-6.773549,-3.2613587,81
-6.769597,-3.2551363,82
-6.50256,-3.2750547,83
-6.3765826,-3.2066724,84
-6.493214,-3.4383364,85
-6.705228,-3.0973623,86
-6.7532635,-3.368578,87
-6.995345,-2.956119,88
-6.9258547,-2.8997495,89
-6.9560404,-2.40336,90
-7.068697,-2.872694,91
-7.0579753,-2.8269265,92
-7.1119037,-2.8734365,93
-6.814202,-3.0774515,94
-6.938827,-2.7985697,95
-7.3381224,-2.7962954,96
-7.1013875,-2.8364923,97
-7.170074,-2.788323,98
-7.2017074,-2.7551079,99
-7.196299,-2.8401186,100
-7.125778,-2.794841,101
-7.142092,-2.8181756,102
-7.2602143,-2.7705534,103
-7.149802,-2.8110638,104
-7.2000923,-2.7781982,105
-7.249609,-2.8085914,106
-7.153466,-2.8557408,107
-7.196966,-2.7093916,108
-7.232774,-2.7974157,109
-7.2710705,-2.8520074,110
-7.195642,-2.7744303,111
-7.115227,-2.7555158,112
-7.1435084,-2.7706156,113
-7.1921067,-2.8036547,114
-7.0936823,-2.8700757,115
-7.20837,-2.8286452,116
-7.1469917,-2.845329,117
-7.286477,-2.893361,118
-7.174693,-2.815843,119
-7.1447115,-2.886728,120
-7.241619,-2.9352393,121
-7.282927,-2.8860064,122
-7.1586003,-2.813261,123
-6.8529596,-2.7284033,124
-6.840127,-3.12107,125
-6.8284864,-2.9922338,126
-6.8993816,-3.0178497,127
-7.1105976,-2.871805,128
-7.0242515,-2.8995874,129
-6.9946294,-2.8920033,130
-6.7402472,-2.8898432,131
-7.1419063,-2.8838286,132
-6.928939,-3.010818,133
-6.988268,-2.7803428,134
-6.911514,-2.7501264,135
-6.9853578,-2.786686,136
-6.933675,-2.818067,137
-7.039964,-2.7822971,138
-6.9998255,-3.1153524,139
-6.9270077,-2.8783724,140
-6.778977,-2.9885354,141
-6.644544,-2.4862046,142
-6.4236403,-2.3364213,143
-6.9603553,-3.1137226,144
-7.0428114,-3.0728972,145
-7.025768,-2.9537,146
-7.034775,-3.1104283,147
-6.923367,-3.1078992,148
-6.8831987,-3.2808542,149
-6.8801336,-3.1482468,150
-6.969384,-3.196102,151
-6.918078,-3.0188875,152
-7.0660543,-3.1378367,153
-6.834634,-3.1148624,154
-6.7261124,-2.7956836,155
-7.0149946,-2.8783932,156
-6.762334,-2.9691002,157
-6.935682,-3.0690382,158
-6.9404035,-2.8527534,159
-6.7771816,-2.968862,160
-6.8861117,-3.017778,161
-6.8369994,-3.076035,162
-6.8679695,-3.0510006,163
-6.895899,-2.8352249,164
-6.8108544,-2.7973185,165
-6.836858,-2.7482245,166
-6.7205625,-3.037991,167
-6.471191,-2.804203,168
-6.520325,-2.801638,169
-6.4474554,-2.6897597,170
-6.632791,-2.5384357,171
-6.9003606,-2.8242662,172
-6.7025046,-2.6993465,173
-6.8854394,-2.9415674,174
-6.7983346,-2.8600936,175
-6.819061,-3.0564456,176
-6.912547,-2.893601,177
