umap1,umap2,timestep
5.7552066,-9.088212,0
5.773689,-9.023924,1
5.4742403,-9.059918,2
5.533811,-9.1240015,3
5.4323797,-9.043969,4
5.3791523,-9.016412,5
5.377713,-9.03075,6
5.429438,-8.961166,7
5.329901,-9.068904,8
5.368021,-8.999074,9
5.3303466,-8.934817,10
5.4772573,-9.070382,11
5.490487,-9.027304,12
5.505321,-9.09909,13
5.446386,-9.019895,14
5.424921,-8.974528,15
5.470458,-8.99911,16
5.5904865,-9.134497,17
5.4753733,-8.973506,18
5.48072,-9.00226,19
5.6096225,-9.146376,20
5.719277,-9.167605,21
5.792322,-9.3101225,22
5.7891326,-9.344589,23
5.5991774,-9.04411,24
5.6450515,-9.113344,25
5.6807384,-9.111491,26
5.7485127,-9.072411,27
5.6824436,-9.059135,28
5.5715795,-9.019546,29
5.618371,-9.0090685,30
5.5266137,-9.035739,31
5.576046,-9.054293,32
5.4503508,-9.035288,33
5.5190706,-9.094751,34
5.7020116,-9.163152,35
5.58566,-8.9919815,36
5.6697063,-9.23398,37
5.618576,-9.08476,38
5.5997777,-9.130831,39
5.5177584,-9.061925,40
5.710354,-9.136668,41
5.429269,-8.943995,42
5.6776,-9.225274,43
5.5963774,-9.090486,44
5.4915004,-9.001757,45
5.560135,-9.07926,46
5.6340938,-9.151626,47
5.531636,-9.168294,48
5.5462556,-9.101545,49
5.3053102,-9.095488,50
5.413907,-9.040805,51
5.416316,-9.088338,52
5.5395727,-9.273068,53
5.357656,-9.055492,54
5.535613,-9.04697,55
5.459573,-9.041605,56
5.4217033,-9.019156,57
5.345515,-8.969324,58
5.581199,-8.99324,59
5.5031033,-8.951161,60
5.5139327,-9.04989,61
5.479912,-9.086889,62
5.44115,-9.06469,63
5.453304,-9.014146,64
5.379464,-9.050127,65
5.3179417,-8.997767,66
5.272236,-9.024691,67
5.535893,-9.08936,68
5.417505,-9.029188,69
5.5364947,-9.147419,70
5.478289,-9.072135,71
5.6639256,-9.138666,72
5.386786,-8.986492,73
5.509616,-8.960929,74
5.4155536,-9.044095,75
5.237643,-9.15588,76
5.301851,-8.927203,77
5.5234504,-9.121627,78
5.3609557,-9.048552,79
5.3142133,-8.987742,80
5.404574,-8.998552,81
5.31862,-8.983311,82
5.352913,-9.024614,83
5.3707337,-9.005064,84
5.1847167,-9.004169,85
5.3788633,-9.030388,86
5.3011265,-9.010724,87
5.391993,-9.065015,88
5.477974,-8.997486,89
5.373156,-9.01565,90
5.2784986,-9.007044,91
5.2764235,-8.989973,92
5.3453856,-9.051123,93
5.3302717,-8.99494,94
5.574722,-8.994773,95
5.443935,-9.073163,96
5.439225,-9.02965,97
5.5169253,-8.940089,98
5.3299985,-9.066403,99
5.277676,-9.016653,100
5.397347,-8.989693,101
5.230657,-8.932886,102
5.276506,-8.960614,103
5.3306737,-8.962084,104
5.353166,-9.018165,105
5.3381395,-9.011152,106
5.3807416,-9.02307,107
5.3111444,-8.943071,108
5.319537,-8.97683,109
5.3587937,-8.994933,110
5.310016,-9.090574,111
5.390946,-8.9763155,112
5.3828883,-9.017965,113
5.576988,-9.056972,114
5.7137895,-9.025598,115
5.5328684,-9.122792,116
5.657639,-9.151678,117
5.9625382,-9.514958,118
5.708868,-9.084588,119
5.637672,-9.072156,120
6.001679,-9.391716,121
5.640278,-9.110654,122
5.6502814,-8.985342,123
5.6541905,-9.217713,124
5.6904697,-9.022091,125
5.652492,-9.086634,126
5.5089326,-9.014411,127
5.5063376,-9.067735,128
5.839511,-9.126353,129
5.753157,-9.223225,130
5.6719294,-9.219841,131
5.451359,-8.990123,132
5.8433404,-9.137143,133
5.694567,-9.111437,134
5.808802,-9.134365,135
5.9154115,-9.178824,136
5.723133,-9.080016,137
5.751786,-8.970194,138
6.0127296,-9.477386,139
5.6210265,-9.094067,140
5.65216,-9.278978,141
5.734693,-9.132018,142
6.0582614,-9.274062,143
5.447064,-9.08298,144
5.689542,-8.923503,145
5.940515,-9.139979,146
5.5192914,-9.109143,147
5.813055,-9.136296,148
5.6014576,-9.141123,149
5.680536,-9.084955,150
5.568529,-8.993078,151
5.572432,-9.030971,152
5.7049356,-9.036701,153
5.7195787,-9.207211,154
5.572358,-9.025808,155
5.55625,-8.972913,156
5.7436447,-9.059637,157
5.6922603,-9.083862,158
5.7529163,-9.024362,159
6.0498486,-9.438165,160
5.7380033,-9.271725,161
5.4884195,-9.15678,162
5.92558,-9.241224,163
5.72309,-9.159655,164
5.8654933,-9.027392,165
5.7475147,-9.002324,166
5.778542,-9.302765,167
5.8420343,-9.157663,168
6.0253425,-9.378057,169
5.9007177,-9.153054,170
5.9846425,-9.181358,171
6.0253673,-9.417643,172
6.12139,-9.318254,173
5.7439585,-9.141306,174
6.144268,-9.30319,175
5.7029495,-9.085772,176
6.3750205,-9.289148,177
6.383643,-9.458277,178
5.839863,-9.049,179
6.2246137,-9.312576,180
6.1245856,-9.551737,181
6.359366,-9.2617035,182
6.1331606,-9.163967,183
6.232133,-9.110498,184
5.860195,-9.329244,185
6.157218,-9.187568,186
6.1765924,-9.317777,187
6.061605,-9.3514185,188
6.1486406,-9.375591,189
6.226334,-9.069324,190
6.1264663,-9.514238,191
5.4984746,-9.097345,192
5.952909,-9.31572,193
6.272529,-9.231389,194
6.3259087,-9.422919,195
6.170239,-9.416263,196
6.2351103,-9.302821,197
6.3203316,-9.412579,198
6.1958985,-9.4294,199
6.2642264,-9.573962,200
6.242401,-9.375868,201
6.2657943,-9.391161,202
6.219132,-9.222072,203
6.0537767,-9.2852545,204
6.3337846,-9.4085245,205
6.0561113,-9.321953,206
6.3555803,-9.205018,207
6.0644617,-9.354951,208
5.7917438,-9.419151,209
6.441002,-9.312554,210
6.05427,-9.428014,211
5.990065,-9.312623,212
6.087951,-9.239282,213
6.203103,-9.513318,214
6.1316767,-9.326188,215
6.4391694,-9.339205,216
6.083675,-9.089332,217
6.349744,-9.344089,218
5.840251,-9.407563,219
6.280952,-9.492572,220
6.389947,-9.429475,221
6.509922,-9.437592,222
6.4241757,-9.373411,223
6.372548,-9.387989,224
6.4782643,-9.587026,225
6.2914386,-9.281045,226
6.4435263,-9.328512,227
6.211839,-9.10594,228
6.428694,-9.414988,229
6.2923408,-9.489029,230
6.2889156,-9.410497,231
6.305679,-9.111567,232
6.4818983,-9.421232,233
6.3369904,-9.34659,234
6.3916273,-9.114244,235
6.21907,-9.287809,236
6.2655687,-9.518384,237
6.2938447,-9.297625,238
6.2864923,-9.173897,239
6.457339,-9.592917,240
6.3601766,-9.304958,241
6.202194,-9.454664,242
6.139314,-9.233069,243
6.574722,-9.322007,244
6.4325666,-9.476458,245
6.4961805,-9.482498,246
6.4366856,-9.2624445,247
6.492588,-9.271062,248
6.370393,-9.476985,249
6.433504,-9.565926,250
6.327313,-9.233522,251
6.3291354,-9.175947,252
6.4661937,-9.433496,253
6.2831326,-9.301741,254
6.503917,-9.385093,255
6.692139,-9.490075,256
6.8034067,-9.565533,257
6.7650056,-9.505996,258
6.6163864,-9.43894,259
6.662424,-9.450894,260
6.801182,-9.528291,261
6.7032228,-9.460008,262
6.821179,-9.537245,263
6.6918387,-9.5318775,264
6.6770496,-9.489891,265
6.6602316,-9.457257,266
6.770296,-9.576165,267
6.882102,-9.502479,268
6.750222,-9.467454,269
6.849993,-9.529662,270
6.630039,-9.430252,271
6.787186,-9.538908,272
6.8502517,-9.549994,273
6.571043,-9.436774,274
6.5268283,-9.414658,275
6.7552667,-9.317421,276
6.5637364,-9.405552,277
6.682319,-9.372788,278
6.568799,-9.343677,279
6.4640675,-9.414164,280
6.521223,-9.408533,281
6.2596307,-9.494278,282
6.630929,-9.451038,283
6.5065293,-9.483688,284
