umap1,umap2,timestep
-8.2553215,-7.6256795,0
-7.9264007,-7.5799313,1
-7.936362,-7.5830417,2
-8.050078,-7.569813,3
-7.990268,-7.570842,4
-7.8790693,-7.6084757,5
-7.937865,-7.54439,6
-7.865565,-7.544448,7
-7.7628946,-7.619396,8
-7.928766,-7.5734496,9
-7.8837705,-7.57428,10
-7.825161,-7.548633,11
-7.7970843,-7.543562,12
-7.9201264,-7.5452814,13
-7.7490907,-7.4619565,14
-7.8605847,-7.5354457,15
-7.8391933,-7.5472827,16
-7.8538156,-7.5714316,17
-7.8641405,-7.5384235,18
-7.9151974,-7.569126,19
-7.900756,-7.589223,20
-7.7836485,-7.5099463,21
-7.847723,-7.5488677,22
-7.810533,-7.576989,23
-7.8597565,-7.5688577,24
-7.751807,-7.4123907,25
-7.831639,-7.5629034,26
-7.8684397,-7.539615,27
-7.8528275,-7.563051,28
-7.851003,-7.488201,29
-7.825154,-7.5367646,30
-7.742083,-7.436761,31
-7.748247,-7.522184,32
-7.7804384,-7.5024104,33
-7.767482,-7.542857,34
-7.8103094,-7.50149,35
-8.050327,-7.616544,36
-7.932379,-7.607396,37
-8.010502,-7.609668,38
-8.041951,-7.580921,39
-7.9869037,-7.5656357,40
-8.040483,-7.5923786,41
-7.943425,-7.6408353,42
-7.851845,-7.646821,43
-8.049333,-7.5782456,44
-8.039979,-7.6056767,45
-7.9939957,-7.537508,46
-8.113463,-7.501432,47
-8.058169,-7.603902,48
-7.8844657,-7.5793166,49
-7.944812,-7.5853586,50
-7.9846997,-7.5800667,51
-7.907061,-7.5311613,52
-7.9768524,-7.5613036,53
-7.977748,-7.5543885,54
-7.853706,-7.550964,55
-8.084713,-7.5680766,56
-7.9032397,-7.6348367,57
-7.9539757,-7.5323143,58
-7.950153,-7.5534873,59
-7.909407,-7.524184,60
-7.916598,-7.5558453,61
-7.916636,-7.5344567,62
-8.032436,-7.503083,63
-7.8295603,-7.5406833,64
-7.960738,-7.60901,65
-7.815341,-7.5587482,66
-7.8748155,-7.5358486,67
-7.8956995,-7.6176615,68
-7.8069882,-7.5738378,69
-7.8912387,-7.5468345,70
-7.945997,-7.5513663,71
-7.9427686,-7.554969,72
-7.9361944,-7.6421227,73
-7.890792,-7.5550265,74
-7.9432297,-7.5625515,75
-7.939824,-7.560534,76
-8.113195,-7.497779,77
-7.8690147,-7.771378,78
-7.963632,-7.806155,79
-7.943138,-7.8084583,80
-7.985621,-7.7633195,81
-7.889356,-7.7905097,82
-7.9270406,-7.674241,83
-7.9185033,-7.8411903,84
-8.04572,-7.629869,85
-7.8398805,-7.737885,86
-7.8796735,-7.8190336,87
-7.9164605,-7.8580027,88
-7.855906,-7.8535805,89
-7.9787416,-7.839169,90
-7.8793163,-7.831567,91
-7.8254848,-7.7869473,92
-7.8532953,-7.5153217,93
-7.9086456,-7.8057523,94
-8.449513,-7.391415,95
-8.001896,-7.5621557,96
-7.998975,-7.593863,97
-7.957307,-7.5253735,98
-7.8724647,-7.6051483,99
-7.9257216,-7.639776,100
-8.130607,-7.55081,101
-8.183677,-7.6006374,102
-7.844412,-7.5619626,103
-7.9318852,-7.5865264,104
-7.955778,-7.6263523,105
-7.9606667,-7.8074346,106
-7.894188,-7.7348223,107
-7.9202952,-7.569393,108
-7.8553896,-7.6690373,109
-7.8664455,-7.7115245,110
-7.879554,-7.720531,111
-7.7607055,-7.8048906,112
-7.951667,-7.6775517,113
-7.7664056,-7.7196126,114
-8.0454445,-7.473263,115
-7.9344096,-7.5398536,116
-8.122012,-7.56452,117
-8.097972,-7.5675354,118
-7.8522797,-7.5682535,119
-7.9462905,-7.5717874,120
-7.896226,-7.5304074,121
-7.8822174,-7.6048226,122
-8.176573,-7.496949,123
-8.072255,-7.565884,124
-8.306371,-7.37714,125
-8.398935,-7.3024035,126
-8.325946,-7.4046917,127
-7.907149,-7.831399,128
-7.8471227,-7.806425,129
-7.9395027,-7.8094745,130
-7.965924,-7.821068,131
-8.348762,-7.591779,132
-8.239659,-7.774266,133
-8.565378,-7.6607356,134
-8.494516,-7.6265965,135
-8.568138,-7.99766,136
-8.422569,-7.9918976,137
-8.395627,-7.6176553,138
-8.175492,-7.816903,139
-8.087264,-7.654674,140
-8.199983,-7.603309,141
-8.24217,-7.6296787,142
-8.561146,-7.994631,143
-8.034587,-7.6553316,144
-8.112234,-7.593883,145
-8.228465,-7.624729,146
-8.327682,-7.57704,147
-8.140909,-7.698805,148
-8.339135,-7.5391045,149
-8.243111,-7.581588,150
-8.288948,-7.627594,151
-8.101664,-7.5884356,152
-8.167343,-7.606532,153
-8.194934,-7.6528788,154
-8.135575,-7.606617,155
-8.1752825,-7.6609297,156
-8.12948,-7.6129627,157
-8.153383,-7.639694,158
-8.145346,-7.6476955,159
-8.301328,-7.6795764,160
-8.280088,-7.611892,161
-8.2032385,-7.591067,162
-8.2162895,-7.5898767,163
-8.316225,-7.606044,164
-8.5004835,-7.537157,165
-8.27614,-7.5866046,166
-8.273869,-7.531514,167
-8.313228,-7.600543,168
-8.372019,-7.5162363,169
-8.264865,-7.543773,170
-8.618207,-7.3278594,171
-8.32706,-7.5634394,172
-8.306724,-7.6236615,173
-8.472508,-7.592129,174
-8.261829,-7.589611,175
-8.251959,-7.5681806,176
-8.386777,-7.5773425,177
-8.245972,-7.590854,178
-8.357278,-7.5466976,179
-8.448874,-7.5964055,180
-8.365284,-7.609967,181
-8.408752,-7.562385,182
-8.292,-7.6040173,183
-8.25177,-7.580887,184
-8.458335,-7.510298,185
-8.366433,-7.552383,186
-8.219177,-7.6483636,187
-8.340855,-7.5872602,188
-8.030445,-7.5121174,189
-8.167174,-7.597739,190
-8.3050995,-7.6958294,191
-7.979505,-7.6531262,192
-8.262163,-7.6303506,193
-8.328619,-7.580211,194
-8.368511,-7.57615,195
-8.420395,-7.588164,196
-8.261019,-7.539926,197
-8.361725,-7.544405,198
-8.425454,-7.5404673,199
-8.420019,-7.5357256,200
-8.38475,-7.5005074,201
-8.277541,-7.587362,202
-8.359888,-7.59257,203
-8.536453,-7.521317,204
-8.615894,-7.5587916,205
-8.510345,-7.7328258,206
-8.367655,-7.6655555,207
-8.358036,-7.512542,208
-8.365362,-7.443096,209
-8.280068,-7.493149,210
-8.225005,-7.509739,211
-8.229349,-7.449647,212
-8.363205,-7.59043,213
-8.232313,-7.515135,214
-8.574196,-7.39229,215
-8.306666,-7.4970207,216
-8.323487,-7.3808846,217
-8.295733,-7.6305585,218
-8.121427,-7.51476,219
-8.259035,-7.517542,220
-8.369726,-7.62523,221
-8.106426,-7.547405,222
-8.247811,-7.486097,223
-8.362583,-7.5083256,224
-8.62256,-7.4621577,225
-8.013621,-7.838798,226
-8.059289,-7.841502,227
-8.179874,-7.889437,228
-8.619963,-7.3670707,229
-7.942754,-7.8280725,230
-8.11652,-7.944386,231
-8.06389,-7.9082413,232
