umap1,umap2,timestep
-6.6393013,7.8736825,0
-6.6556997,7.8923216,1
-6.668634,7.8899827,2
-6.6676345,7.8827314,3
-6.645537,7.877518,4
-6.646646,7.874206,5
-6.6433644,7.872163,6
-6.6370063,7.874856,7
-6.61579,7.8416214,8
-6.6790123,7.892003,9
-6.6524863,7.8778634,10
-6.6954226,7.8944507,11
-6.657532,7.883462,12
-6.633869,7.867423,13
-6.7000084,7.9000483,14
-6.6529193,7.880324,15
-6.645514,7.8767967,16
-6.6528873,7.8783126,17
-6.6487346,7.87639,18
-6.6454444,7.873117,19
-6.657421,7.878117,20
-6.730109,7.9518785,21
-6.6463737,7.875924,22
-6.701816,7.9087124,23
-6.6433377,7.8752003,24
-6.619668,7.89034,25
-6.612073,7.905508,26
-6.6515665,7.8756604,27
-6.654233,7.867726,28
-6.609259,7.8376536,29
-6.6510987,7.8775473,30
-6.632084,7.86474,31
-6.6209307,7.8850965,32
-6.5596213,7.8402824,33
-6.6443872,7.8699136,34
-6.673782,7.9043684,35
-6.624795,7.859817,36
-6.6689773,7.8880286,37
-6.6568866,7.881716,38
-6.5950866,7.893742,39
-6.591266,7.828951,40
-6.667042,7.9021683,41
-6.6415567,7.874616,42
-6.647002,7.873179,43
-6.6310086,7.8655624,44
-6.63282,7.8686347,45
-6.596893,7.825867,46
-6.7017827,7.8488784,47
-6.77043,7.9795423,48
-6.7957244,7.933152,49
-6.680315,7.87654,50
-7.5238624,8.331488,51
-7.7077026,8.39375,52
-7.732222,8.493335,53
-7.7124033,8.4795065,54
-7.9745164,8.76324,55
-7.8812256,8.9168,56
-7.824343,8.505355,57
-7.832399,8.514712,58
-7.690182,8.523819,59
-7.803721,8.550268,60
-7.7255683,8.369774,61
-7.7428756,8.610256,62
-7.8880897,8.464198,63
-7.5253253,8.385389,64
-7.785811,8.441371,65
-7.8174458,8.651981,66
-7.822779,8.5108795,67
-7.518624,8.508313,68
-7.7340517,8.576339,69
-7.78748,8.364243,70
-7.5312924,8.680518,71
-7.6190267,8.686924,72
-7.7156124,8.415811,73
-7.6253552,8.734547,74
-7.736555,8.860459,75
-7.8738046,8.5309515,76
-8.12994,8.778404,77
-7.717591,8.675134,78
-7.665263,8.4425335,79
-7.8398714,8.515249,80
-7.79315,8.641886,81
-7.845353,8.527312,82
