umap1,umap2,timestep
-13.559883,0.48782566,0
-13.583578,0.52318215,1
-13.599585,0.43537715,2
-13.567703,0.47305048,3
-13.566437,0.4986688,4
-13.580105,0.466844,5
-13.533325,0.2639205,6
-13.556468,0.2148447,7
-13.570465,0.27857208,8
-13.6118355,0.46213934,9
-13.550708,0.4974863,10
-13.539254,0.5712559,11
-13.591797,0.32985225,12
-13.605911,0.3593977,13
-13.575815,0.37564233,14
-13.570954,0.37864697,15
-13.552313,0.39711055,16
-13.576412,0.37744418,17
-13.434584,0.4428279,18
-13.578142,0.34909397,19
-13.610236,0.3637588,20
-13.593268,0.4020679,21
-13.617745,0.20898232,22
-13.576075,0.09512977,23
-13.657219,0.2558242,24
-13.605915,0.5881438,25
-13.53034,0.4430838,26
-13.5871935,0.47451362,27
-13.613692,0.48795778,28
-13.552174,0.3876645,29
-13.527293,0.3560246,30
-13.53492,0.48655906,31
-13.535403,0.28953612,32
-13.589015,0.35912198,33
-13.624167,0.38131502,34
-13.582284,0.4538737,35
-13.629861,0.30129835,36
-13.509502,0.43001676,37
-13.50841,0.3310811,38
-13.536967,0.13105617,39
-13.556505,0.31285363,40
-13.531471,0.3275109,41
-13.570831,0.2946183,42
-13.467261,0.51970184,43
-13.569297,0.37157723,44
-13.619389,0.5145309,45
-13.559091,0.42208442,46
-13.683878,0.009689427,47
-13.615208,0.57379866,48
-13.586696,0.46918994,49
-13.564065,0.45487243,50
-13.631638,0.5300039,51
-13.608935,0.37950975,52
-13.6167965,0.32217366,53
-13.63957,0.37739494,54
-13.563981,0.46495816,55
-13.644014,0.49755493,56
-13.577599,0.45607135,57
-13.555709,0.4286135,58
-13.580656,0.38540632,59
-13.580639,0.49615178,60
-13.565378,0.50600904,61
-13.587674,0.39650056,62
-13.641845,0.6273909,63
-13.532199,0.5578335,64
-13.522509,0.47115043,65
-13.682305,0.6570464,66
-13.589119,0.5543724,67
-13.593834,0.48308927,68
-13.562302,0.38234857,69
-13.644542,0.6226258,70
-13.563016,0.37504464,71
-13.563948,0.35315996,72
-13.442504,0.5491626,73
-13.584504,0.64304054,74
-13.576309,0.5116832,75
-13.72687,0.44806007,76
-13.465219,0.4069898,77
-13.511635,0.5298288,78
-13.56254,0.17824319,79
-13.566852,0.5608505,80
-13.573917,0.44274396,81
-13.550978,0.4119294,82
-13.535561,0.5408852,83
-13.625419,0.3547755,84
-13.660574,0.57134193,85
-13.573054,0.51733,86
-13.450033,0.21169256,87
-13.641329,0.5162799,88
-13.493843,0.02712883,89
-13.347985,0.20011133,90
-13.410644,0.29419068,91
-13.397208,0.2713705,92
-13.5015745,0.4243072,93
-13.436789,0.29566586,94
-13.420356,0.15980548,95
-13.587104,0.5074244,96
-13.576344,0.55197275,97
-13.622555,0.4980368,98
-13.57432,0.62680346,99
-13.532874,0.6215868,100
-13.580529,0.556772,101
-13.482553,0.6203531,102
-13.578467,0.55368763,103
-13.576194,0.5661513,104
-13.597327,0.41060933,105
-13.572813,0.53028566,106
-13.565561,0.5659907,107
-13.57083,0.5197988,108
-13.534761,0.5803476,109
-13.57257,0.5561964,110
-13.558769,0.61307144,111
-13.509267,0.5422733,112
-13.496481,0.57920444,113
-13.468039,0.41799545,114
-13.568809,0.6183057,115
-13.617284,0.37008458,116
-13.529062,0.508168,117
-13.6977625,0.35218284,118
-13.624951,0.3474335,119
-13.582459,0.4452609,120
-13.649136,0.02407739,121
-13.610609,0.0575691,122
-13.603781,0.08125346,123
-13.601728,0.03855526,124
-13.577845,0.06291409,125
-13.65819,-0.07175045,126
-13.611217,-0.009257292,127
-13.595244,0.07325006,128
-13.520838,0.48506287,129
-13.435311,0.1917578,130
-13.506148,0.53069717,131
-13.603167,0.034876287,132
-13.484959,0.44041634,133
-13.5631485,0.12656075,134
-13.705012,0.29767084,135
-13.548359,0.23853408,136
-13.541236,0.13489766,137
-13.568541,0.064923786,138
-13.652489,-0.10108512,139
-13.633678,-0.21690531,140
-13.624295,-0.15552808,141
-13.608023,-0.12948586,142
-13.645584,-0.18561696,143
-13.610607,0.3597668,144
-13.571267,0.4515981,145
-13.530549,0.59593064,146
-13.57483,0.565596,147
-13.609239,0.63942564,148
-13.508892,0.59746236,149
-13.521406,0.5270973,150
-13.577805,0.42679995,151
-13.489136,0.32780156,152
-13.53202,0.026401313,153
-13.598076,0.1619946,154
-13.698578,-0.0039060004,155
-13.634909,0.0102114985,156
-13.656437,0.22431466,157
-13.541134,-0.057313595,158
-13.571191,-0.12756893,159
-13.579203,-0.09501746,160
-13.606438,-0.05883802,161
-13.6700945,-0.0064121243,162
-13.678385,0.0011450286,163
-13.593348,-0.027215678,164
-13.571117,-0.1343684,165
-13.560473,-0.19257702,166
-13.672334,0.053261753,167
-13.501014,0.113851696,168
-13.637402,0.009776028,169
-13.544063,-0.029877871,170
-13.573621,-0.082543485,171
-13.551542,-0.16714625,172
-13.573098,0.19556068,173
-13.611601,0.21108693,174
-13.524285,0.09774449,175
-13.505447,0.13857847,176
-13.598742,-0.044727642,177
-13.565118,0.23904708,178
-13.5661,0.1824046,179
-13.581145,0.1613359,180
-13.594307,-0.10631377,181
-13.596763,0.11544072,182
-13.582899,0.22874537,183
-13.423225,0.10530528,184
-13.693729,0.22110882,185
