umap1,umap2,timestep
-8.689294,0.2958042,0
-8.828384,0.042166915,1
-8.712659,-0.39537305,2
-8.702399,-0.3201649,3
-8.758189,-0.17885838,4
-8.722162,-0.33062422,5
-8.8292885,-0.049029283,6
-8.655731,-0.46241078,7
-8.719969,-0.84359497,8
-8.715273,-0.41446066,9
-8.761048,-0.40640447,10
-8.719953,-0.7268294,11
-8.700962,-0.64289737,12
-8.648845,-0.722495,13
-8.673686,-0.8870046,14
-8.703464,-0.77035826,15
-8.71808,-0.3667086,16
-8.741303,-0.24939568,17
-8.696859,-0.07373817,18
-8.690474,-0.21172994,19
-8.640224,-0.0042672236,20
-8.727501,-0.14898024,21
-8.763859,-0.15588456,22
-8.695897,-0.27363873,23
-8.714839,-0.2928673,24
-8.709496,-0.24436317,25
-8.742104,-0.22849694,26
-8.602717,-0.31978506,27
-8.71193,-0.42882594,28
-8.690641,-0.7206797,29
-8.740743,-0.46444687,30
-8.6895,-0.80966175,31
-8.804155,-0.6844024,32
-8.6813965,-0.8472195,33
-8.735119,-0.8124358,34
-8.673132,-0.90421385,35
-8.68651,-0.8955996,36
-8.685135,-0.8917445,37
-8.727301,-0.94624627,38
-8.683311,-0.87795496,39
-8.67909,-0.94018775,40
-8.662258,-0.8471468,41
-8.683677,-0.79804426,42
-8.636361,-0.94848967,43
-8.645476,-0.94563645,44
-8.674198,-0.8804311,45
-8.678642,-0.9281357,46
-8.66652,-0.9605595,47
-8.685824,-0.91644657,48
-8.702802,-0.9326051,49
-8.682695,-0.95779455,50
-8.675348,-0.98679596,51
-8.686134,-0.9235403,52
-8.687106,-0.8487314,53
-8.671176,-0.925433,54
-8.680236,-0.91487485,55
-8.717227,-0.8551361,56
-8.672783,-0.86488545,57
-8.678176,-0.88572365,58
-8.748052,-0.9556198,59
-8.681634,-0.9266892,60
-8.704608,-0.9492029,61
-8.679262,-0.91497123,62
-8.682956,-0.9096112,63
-8.678558,-0.9067381,64
-8.691505,-0.9174688,65
-8.681502,-0.96037364,66
-8.62283,-0.9763974,67
-8.726051,-0.90383416,68
-8.685546,-0.8668972,69
-8.752029,-0.9287113,70
-8.74824,-0.9516579,71
