umap1,umap2,timestep
9.61177,2.2895548,0
9.61697,2.2962437,1
9.506537,2.0945177,2
9.487188,2.0937726,3
9.467738,2.0248578,4
9.614609,2.2800732,5
9.644971,2.3843596,6
9.68263,2.383674,7
9.673748,2.355261,8
9.669787,2.3788285,9
9.669163,2.3883986,10
9.696465,2.4170673,11
9.661076,2.3947258,12
9.666812,2.3986197,13
9.643533,2.389409,14
9.655335,2.3870132,15
9.461997,2.0722969,16
9.375074,1.9256032,17
9.583458,2.266792,18
9.51524,2.3962426,19
9.586329,2.3827016,20
9.343677,1.8897465,21
9.367641,1.9166707,22
9.419555,1.9152731,23
9.615995,2.328957,24
9.530662,2.3990216,25
9.507731,2.3930483,26
9.525422,2.405497,27
9.469023,2.4479978,28
9.52562,2.4090955,29
9.528959,2.415786,30
9.561163,2.4022782,31
9.596735,2.4041836,32
9.616034,2.375777,33
9.652753,2.3461351,34
9.652665,2.3860211,35
9.449609,2.149565,36
9.667721,2.3659623,37
9.664674,2.3461568,38
9.648981,2.3594306,39
9.665474,2.3761158,40
9.680206,2.358848,41
9.67476,2.3418455,42
9.633524,2.2944856,43
9.680473,2.3359876,44
9.68078,2.3606462,45
9.67808,2.3721044,46
9.668273,2.3657064,47
9.630131,2.3245857,48
9.671988,2.3795648,49
9.676061,2.3846436,50
9.711055,2.4160428,51
9.933493,1.7388133,52
9.75148,1.9599404,53
9.7709055,1.9443047,54
9.566129,1.7544217,55
9.598457,1.7431902,56
9.499422,1.917376,57
9.546888,1.8871433,58
9.720586,1.9376254,59
9.763053,2.0102556,60
9.755013,1.9362313,61
9.77344,1.9119879,62
9.75003,1.980603,63
10.048402,1.7176412,64
10.059267,1.7076808,65
10.067785,1.6985418,66
10.072255,1.7126421,67
10.065162,1.7038887,68
10.93879,10.590041,69
10.939546,10.596399,70
10.939482,10.595807,71
10.939724,10.597252,72
10.939597,10.596458,73
10.939372,10.59827,74
10.939892,10.59748,75
10.939783,10.597186,76
10.939789,10.5978155,77
10.940003,10.598789,78
10.939816,10.597356,79
10.939693,10.597241,80
10.008098,1.6972518,81
10.090899,1.6927638,82
10.062734,1.7036319,83
9.996521,1.6435795,84
9.990086,1.6667356,85
9.810627,1.87366,86
9.741736,1.9013484,87
10.029816,1.7145915,88
10.024233,1.7147051,89
10.018861,1.7014686,90
10.930269,10.562544,91
10.938597,10.595029,92
10.938018,10.591456,93
10.0534935,1.7192837,94
10.0434675,1.7163007,95
9.610439,2.2606864,96
9.568037,2.14383,97
9.570074,1.9775814,98
9.55851,1.9071292,99
9.491779,1.8420064,100
9.533866,1.8134226,101
9.556795,1.817809,102
9.57109,1.7812985,103
9.407301,1.8239174,104
9.438749,1.8088741,105
9.488692,1.8353543,106
9.517773,1.8080271,107
9.538519,1.8082589,108
9.579782,1.8087475,109
9.592835,1.7620448,110
9.628124,1.7848811,111
9.623927,1.7511837,112
9.6038,1.7761637,113
9.629333,1.795322,114
9.669635,1.75528,115
9.618849,1.7457755,116
9.535289,1.6330723,117
